CensusTract,State,Prog1,Prog2,Prog3,Prog4+more,FundingTotal,Projects,CEJST_Indicators,CoveredPrograms,Monitor
13121009804,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010530,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009104,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011431,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011430,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011438,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011435,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011436,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011507,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011511,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011655,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011641,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011654,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011647,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011643,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011640,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011434,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011636,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011646,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121001206,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009103,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121000501,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011428,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011432,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011639,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011637,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011638,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011650,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010212,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010115,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010117,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010120,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011419,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121006801,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009700,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010107,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121002500,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121007100,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121007200,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121006200,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121004200,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121003700,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011423,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010211,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121012000,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
